fl in [1,2]	 delta = 2^-52
0.5000000000000029	 0011111111100000000000000000000000000000000000000000000000011010
0.500000000000003	 0011111111100000000000000000000000000000000000000000000000011011
0.5000000000000031	 0011111111100000000000000000000000000000000000000000000000011100
0.5000000000000032	 0011111111100000000000000000000000000000000000000000000000011101
0.5000000000000033	 0011111111100000000000000000000000000000000000000000000000011110
0.5000000000000034	 0011111111100000000000000000000000000000000000000000000000011111
0.5000000000000036	 0011111111100000000000000000000000000000000000000000000000100000
0.5000000000000037	 0011111111100000000000000000000000000000000000000000000000100001
0.5000000000000038	 0011111111100000000000000000000000000000000000000000000000100010
0.5000000000000039	 0011111111100000000000000000000000000000000000000000000000100011
0.500000000000004	 0011111111100000000000000000000000000000000000000000000000100100
0.5000000000000041	 0011111111100000000000000000000000000000000000000000000000100101
0.5000000000000042	 0011111111100000000000000000000000000000000000000000000000100110
0.5000000000000043	 0011111111100000000000000000000000000000000000000000000000100111
0.5000000000000044	 0011111111100000000000000000000000000000000000000000000000101000
0.5000000000000046	 0011111111100000000000000000000000000000000000000000000000101001
0.5000000000000047	 0011111111100000000000000000000000000000000000000000000000101010
0.5000000000000048	 0011111111100000000000000000000000000000000000000000000000101011
0.5000000000000049	 0011111111100000000000000000000000000000000000000000000000101100
0.500000000000005	 0011111111100000000000000000000000000000000000000000000000101101
0.5000000000000051	 0011111111100000000000000000000000000000000000000000000000101110
0.5000000000000052	 0011111111100000000000000000000000000000000000000000000000101111
0.5000000000000053	 0011111111100000000000000000000000000000000000000000000000110000
0.5000000000000054	 0011111111100000000000000000000000000000000000000000000000110001
0.5000000000000056	 0011111111100000000000000000000000000000000000000000000000110010
0.5000000000000057	 0011111111100000000000000000000000000000000000000000000000110011
0.5000000000000058	 0011111111100000000000000000000000000000000000000000000000110100
0.5000000000000059	 0011111111100000000000000000000000000000000000000000000000110101
0.500000000000006	 0011111111100000000000000000000000000000000000000000000000110110
0.5000000000000061	 0011111111100000000000000000000000000000000000000000000000110111
0.5000000000000062	 0011111111100000000000000000000000000000000000000000000000111000
0.5000000000000063	 0011111111100000000000000000000000000000000000000000000000111001
0.5000000000000064	 0011111111100000000000000000000000000000000000000000000000111010
0.5000000000000066	 0011111111100000000000000000000000000000000000000000000000111011
0.5000000000000067	 0011111111100000000000000000000000000000000000000000000000111100
0.5000000000000068	 0011111111100000000000000000000000000000000000000000000000111101
0.5000000000000069	 0011111111100000000000000000000000000000000000000000000000111110
0.500000000000007	 0011111111100000000000000000000000000000000000000000000000111111
0.5000000000000071	 0011111111100000000000000000000000000000000000000000000001000000
0.5000000000000072	 0011111111100000000000000000000000000000000000000000000001000001
0.5000000000000073	 0011111111100000000000000000000000000000000000000000000001000010
0.5000000000000074	 0011111111100000000000000000000000000000000000000000000001000011
0.5000000000000075	 0011111111100000000000000000000000000000000000000000000001000100
0.5000000000000077	 0011111111100000000000000000000000000000000000000000000001000101
0.5000000000000078	 0011111111100000000000000000000000000000000000000000000001000110
0.5000000000000079	 0011111111100000000000000000000000000000000000000000000001000111
0.500000000000008	 0011111111100000000000000000000000000000000000000000000001001000
0.5000000000000081	 0011111111100000000000000000000000000000000000000000000001001001
0.5000000000000082	 0011111111100000000000000000000000000000000000000000000001001010
0.5000000000000083	 0011111111100000000000000000000000000000000000000000000001001011
0.5000000000000084	 0011111111100000000000000000000000000000000000000000000001001100
0.5000000000000085	 0011111111100000000000000000000000000000000000000000000001001101
0.5000000000000087	 0011111111100000000000000000000000000000000000000000000001001110
0.5000000000000088	 0011111111100000000000000000000000000000000000000000000001001111
0.5000000000000089	 0011111111100000000000000000000000000000000000000000000001010000
0.500000000000009	 0011111111100000000000000000000000000000000000000000000001010001
0.5000000000000091	 0011111111100000000000000000000000000000000000000000000001010010
0.5000000000000092	 0011111111100000000000000000000000000000000000000000000001010011
0.5000000000000093	 0011111111100000000000000000000000000000000000000000000001010100
0.5000000000000094	 0011111111100000000000000000000000000000000000000000000001010101
0.5000000000000095	 0011111111100000000000000000000000000000000000000000000001010110
0.5000000000000097	 0011111111100000000000000000000000000000000000000000000001010111
0.5000000000000098	 0011111111100000000000000000000000000000000000000000000001011000
0.5000000000000099	 0011111111100000000000000000000000000000000000000000000001011001
0.50000000000001	 0011111111100000000000000000000000000000000000000000000001011010
0.5000000000000101	 0011111111100000000000000000000000000000000000000000000001011011
0.5000000000000102	 0011111111100000000000000000000000000000000000000000000001011100
0.5000000000000103	 0011111111100000000000000000000000000000000000000000000001011101
0.5000000000000104	 0011111111100000000000000000000000000000000000000000000001011110
0.5000000000000105	 0011111111100000000000000000000000000000000000000000000001011111
0.5000000000000107	 0011111111100000000000000000000000000000000000000000000001100000
0.5000000000000108	 0011111111100000000000000000000000000000000000000000000001100001
0.5000000000000109	 0011111111100000000000000000000000000000000000000000000001100010
0.500000000000011	 0011111111100000000000000000000000000000000000000000000001100011
0.5000000000000111	 0011111111100000000000000000000000000000000000000000000001100100


fl in [2,4]	 delta = 2^-51
2.0000000000000004	 0100000000000000000000000000000000000000000000000000000000000001
2.000000000000001	 0100000000000000000000000000000000000000000000000000000000000010
2.0000000000000013	 0100000000000000000000000000000000000000000000000000000000000011
2.0000000000000018	 0100000000000000000000000000000000000000000000000000000000000100
2.000000000000002	 0100000000000000000000000000000000000000000000000000000000000101
2.0000000000000027	 0100000000000000000000000000000000000000000000000000000000000110
2.000000000000003	 0100000000000000000000000000000000000000000000000000000000000111
2.0000000000000036	 0100000000000000000000000000000000000000000000000000000000001000
2.000000000000004	 0100000000000000000000000000000000000000000000000000000000001001
2.0000000000000044	 0100000000000000000000000000000000000000000000000000000000001010
2.000000000000005	 0100000000000000000000000000000000000000000000000000000000001011
2.0000000000000053	 0100000000000000000000000000000000000000000000000000000000001100
2.0000000000000058	 0100000000000000000000000000000000000000000000000000000000001101
2.000000000000006	 0100000000000000000000000000000000000000000000000000000000001110
2.0000000000000067	 0100000000000000000000000000000000000000000000000000000000001111
2.000000000000007	 0100000000000000000000000000000000000000000000000000000000010000
2.0000000000000075	 0100000000000000000000000000000000000000000000000000000000010001
2.000000000000008	 0100000000000000000000000000000000000000000000000000000000010010
2.0000000000000084	 0100000000000000000000000000000000000000000000000000000000010011
2.000000000000009	 0100000000000000000000000000000000000000000000000000000000010100
2.0000000000000093	 0100000000000000000000000000000000000000000000000000000000010101
2.0000000000000098	 0100000000000000000000000000000000000000000000000000000000010110
2.00000000000001	 0100000000000000000000000000000000000000000000000000000000010111
2.0000000000000107	 0100000000000000000000000000000000000000000000000000000000011000
2.000000000000011	 0100000000000000000000000000000000000000000000000000000000011001
2.0000000000000115	 0100000000000000000000000000000000000000000000000000000000011010
2.000000000000012	 0100000000000000000000000000000000000000000000000000000000011011
2.0000000000000124	 0100000000000000000000000000000000000000000000000000000000011100
2.000000000000013	 0100000000000000000000000000000000000000000000000000000000011101
2.0000000000000133	 0100000000000000000000000000000000000000000000000000000000011110
2.0000000000000138	 0100000000000000000000000000000000000000000000000000000000011111
2.000000000000014	 0100000000000000000000000000000000000000000000000000000000100000
2.0000000000000147	 0100000000000000000000000000000000000000000000000000000000100001
2.000000000000015	 0100000000000000000000000000000000000000000000000000000000100010
2.0000000000000155	 0100000000000000000000000000000000000000000000000000000000100011
2.000000000000016	 0100000000000000000000000000000000000000000000000000000000100100
2.0000000000000164	 0100000000000000000000000000000000000000000000000000000000100101
2.000000000000017	 0100000000000000000000000000000000000000000000000000000000100110
2.0000000000000173	 0100000000000000000000000000000000000000000000000000000000100111
2.0000000000000178	 0100000000000000000000000000000000000000000000000000000000101000
2.000000000000018	 0100000000000000000000000000000000000000000000000000000000101001
2.0000000000000187	 0100000000000000000000000000000000000000000000000000000000101010
2.000000000000019	 0100000000000000000000000000000000000000000000000000000000101011
2.0000000000000195	 0100000000000000000000000000000000000000000000000000000000101100
2.00000000000002	 0100000000000000000000000000000000000000000000000000000000101101
2.0000000000000204	 0100000000000000000000000000000000000000000000000000000000101110
2.000000000000021	 0100000000000000000000000000000000000000000000000000000000101111
2.0000000000000213	 0100000000000000000000000000000000000000000000000000000000110000
2.0000000000000218	 0100000000000000000000000000000000000000000000000000000000110001
2.000000000000022	 0100000000000000000000000000000000000000000000000000000000110010
2.0000000000000226	 0100000000000000000000000000000000000000000000000000000000110011
2.000000000000023	 0100000000000000000000000000000000000000000000000000000000110100
2.0000000000000235	 0100000000000000000000000000000000000000000000000000000000110101
2.000000000000024	 0100000000000000000000000000000000000000000000000000000000110110
2.0000000000000244	 0100000000000000000000000000000000000000000000000000000000110111
2.000000000000025	 0100000000000000000000000000000000000000000000000000000000111000
2.0000000000000253	 0100000000000000000000000000000000000000000000000000000000111001
2.0000000000000258	 0100000000000000000000000000000000000000000000000000000000111010
2.000000000000026	 0100000000000000000000000000000000000000000000000000000000111011
2.0000000000000266	 0100000000000000000000000000000000000000000000000000000000111100
2.000000000000027	 0100000000000000000000000000000000000000000000000000000000111101
2.0000000000000275	 0100000000000000000000000000000000000000000000000000000000111110
2.000000000000028	 0100000000000000000000000000000000000000000000000000000000111111
2.0000000000000284	 0100000000000000000000000000000000000000000000000000000001000000
2.000000000000029	 0100000000000000000000000000000000000000000000000000000001000001
2.0000000000000293	 0100000000000000000000000000000000000000000000000000000001000010
2.0000000000000298	 0100000000000000000000000000000000000000000000000000000001000011
2.00000000000003	 0100000000000000000000000000000000000000000000000000000001000100
2.0000000000000306	 0100000000000000000000000000000000000000000000000000000001000101
2.000000000000031	 0100000000000000000000000000000000000000000000000000000001000110
2.0000000000000315	 0100000000000000000000000000000000000000000000000000000001000111
2.000000000000032	 0100000000000000000000000000000000000000000000000000000001001000
2.0000000000000324	 0100000000000000000000000000000000000000000000000000000001001001
2.000000000000033	 0100000000000000000000000000000000000000000000000000000001001010
2.0000000000000333	 0100000000000000000000000000000000000000000000000000000001001011
2.0000000000000338	 0100000000000000000000000000000000000000000000000000000001001100
2.000000000000034	 0100000000000000000000000000000000000000000000000000000001001101
2.0000000000000346	 0100000000000000000000000000000000000000000000000000000001001110
2.000000000000035	 0100000000000000000000000000000000000000000000000000000001001111
2.0000000000000355	 0100000000000000000000000000000000000000000000000000000001010000
2.000000000000036	 0100000000000000000000000000000000000000000000000000000001010001
2.0000000000000364	 0100000000000000000000000000000000000000000000000000000001010010
2.000000000000037	 0100000000000000000000000000000000000000000000000000000001010011
2.0000000000000373	 0100000000000000000000000000000000000000000000000000000001010100
2.0000000000000377	 0100000000000000000000000000000000000000000000000000000001010101
2.000000000000038	 0100000000000000000000000000000000000000000000000000000001010110
2.0000000000000386	 0100000000000000000000000000000000000000000000000000000001010111
2.000000000000039	 0100000000000000000000000000000000000000000000000000000001011000
2.0000000000000395	 0100000000000000000000000000000000000000000000000000000001011001
2.00000000000004	 0100000000000000000000000000000000000000000000000000000001011010
2.0000000000000404	 0100000000000000000000000000000000000000000000000000000001011011
2.000000000000041	 0100000000000000000000000000000000000000000000000000000001011100
2.0000000000000413	 0100000000000000000000000000000000000000000000000000000001011101
2.0000000000000417	 0100000000000000000000000000000000000000000000000000000001011110
2.000000000000042	 0100000000000000000000000000000000000000000000000000000001011111
2.0000000000000426	 0100000000000000000000000000000000000000000000000000000001100000
2.000000000000043	 0100000000000000000000000000000000000000000000000000000001100001
2.0000000000000435	 0100000000000000000000000000000000000000000000000000000001100010
2.000000000000044	 0100000000000000000000000000000000000000000000000000000001100011
2.0000000000000444	 0100000000000000000000000000000000000000000000000000000001100100
