x = 8^-84	 f(x) = 0.0	 g(x) = 9.546676135936265e-153
x = 8^-85	 f(x) = 0.0	 g(x) = 1.4916681462400413e-154
x = 8^-86	 f(x) = 0.0	 g(x) = 2.3307314785000646e-156
x = 8^-87	 f(x) = 0.0	 g(x) = 3.641767935156351e-158
x = 8^-88	 f(x) = 0.0	 g(x) = 5.6902623986817984e-160
x = 8^-89	 f(x) = 0.0	 g(x) = 8.89103499794031e-162
x = 8^-90	 f(x) = 0.0	 g(x) = 1.3892242184281734e-163
x = 8^-91	 f(x) = 0.0	 g(x) = 2.170662841294021e-165
x = 8^-92	 f(x) = 0.0	 g(x) = 3.391660689521908e-167
x = 8^-93	 f(x) = 0.0	 g(x) = 5.299469827377981e-169
x = 8^-94	 f(x) = 0.0	 g(x) = 8.280421605278095e-171
x = 8^-95	 f(x) = 0.0	 g(x) = 1.2938158758247024e-172
x = 8^-96	 f(x) = 0.0	 g(x) = 2.0215873059760975e-174
x = 8^-97	 f(x) = 0.0	 g(x) = 3.1587301655876523e-176
x = 8^-98	 f(x) = 0.0	 g(x) = 4.935515883730707e-178
x = 8^-99	 f(x) = 0.0	 g(x) = 7.71174356832923e-180
x = 8^-100	 f(x) = 0.0	 g(x) = 1.204959932551442e-181
x = 8^-101	 f(x) = 0.0	 g(x) = 1.8827498946116282e-183
x = 8^-102	 f(x) = 0.0	 g(x) = 2.941796710330669e-185
x = 8^-103	 f(x) = 0.0	 g(x) = 4.5965573598916705e-187
x = 8^-104	 f(x) = 0.0	 g(x) = 7.182120874830735e-189
x = 8^-105	 f(x) = 0.0	 g(x) = 1.1222063866923024e-190
x = 8^-106	 f(x) = 0.0	 g(x) = 1.7534474792067224e-192
x = 8^-107	 f(x) = 0.0	 g(x) = 2.739761686260504e-194
x = 8^-108	 f(x) = 0.0	 g(x) = 4.280877634782037e-196
x = 8^-109	 f(x) = 0.0	 g(x) = 6.688871304346933e-198
x = 8^-110	 f(x) = 0.0	 g(x) = 1.0451361413042083e-199
